doc_id,type,filename,word_count,canary_fact
POLICY-001,policy,POLICY-001.txt,355,POL-1203-000
POLICY-002,policy,POLICY-002.txt,380,POL-3407-001
POLICY-003,policy,POLICY-003.txt,349,POL-5129-002
POLICY-004,policy,POLICY-004.txt,369,POL-6628-003
POLICY-005,policy,POLICY-005.txt,333,POL-9548-004
POLICY-006,policy,POLICY-006.txt,354,POL-3205-005
POLICY-007,policy,POLICY-007.txt,358,POL-8489-006
POLICY-008,policy,POLICY-008.txt,339,POL-6026-007
POLICY-009,policy,POLICY-009.txt,357,POL-1164-008
POLICY-010,policy,POLICY-010.txt,355,POL-8109-009
POLICY-011,policy,POLICY-011.txt,350,POL-4770-010
POLICY-012,policy,POLICY-012.txt,317,POL-6772-011
POLICY-013,policy,POLICY-013.txt,305,POL-2611-012
POLICY-014,policy,POLICY-014.txt,327,POL-4935-013
POLICY-015,policy,POLICY-015.txt,339,POL-3215-014
PROJECT_SPEC-001,project_spec,PROJECT_SPEC-001.txt,355,PROJ-Catalyst-000
PROJECT_SPEC-002,project_spec,PROJECT_SPEC-002.txt,402,PROJ-Nightingale-001
PROJECT_SPEC-003,project_spec,PROJECT_SPEC-003.txt,427,PROJ-Summit-002
PROJECT_SPEC-004,project_spec,PROJECT_SPEC-004.txt,434,PROJ-Harbor-003
PROJECT_SPEC-005,project_spec,PROJECT_SPEC-005.txt,414,PROJ-Atlas-004
PROJECT_SPEC-006,project_spec,PROJECT_SPEC-006.txt,403,PROJ-Nightingale-005
PROJECT_SPEC-007,project_spec,PROJECT_SPEC-007.txt,409,PROJ-Catalyst-006
PROJECT_SPEC-008,project_spec,PROJECT_SPEC-008.txt,404,PROJ-Pioneer-007
PROJECT_SPEC-009,project_spec,PROJECT_SPEC-009.txt,417,PROJ-Summit-008
PROJECT_SPEC-010,project_spec,PROJECT_SPEC-010.txt,388,PROJ-Anchor-009
PROJECT_SPEC-011,project_spec,PROJECT_SPEC-011.txt,408,PROJ-Pioneer-010
PROJECT_SPEC-012,project_spec,PROJECT_SPEC-012.txt,414,PROJ-Pioneer-011
PROJECT_SPEC-013,project_spec,PROJECT_SPEC-013.txt,399,PROJ-Lumen-012
PROJECT_SPEC-014,project_spec,PROJECT_SPEC-014.txt,408,PROJ-Beacon-013
PROJECT_SPEC-015,project_spec,PROJECT_SPEC-015.txt,413,PROJ-Compass-014
FINANCIAL-001,financial,FINANCIAL-001.txt,351,FIN-2025-Q2-000
FINANCIAL-002,financial,FINANCIAL-002.txt,400,FIN-2025-Q1-001
FINANCIAL-003,financial,FINANCIAL-003.txt,348,FIN-2024-Q4-002
FINANCIAL-004,financial,FINANCIAL-004.txt,367,FIN-2025-Q3-003
FINANCIAL-005,financial,FINANCIAL-005.txt,360,FIN-2024-Q3-004
FINANCIAL-006,financial,FINANCIAL-006.txt,347,FIN-2023-Q4-005
FINANCIAL-007,financial,FINANCIAL-007.txt,394,FIN-2023-Q3-006
FINANCIAL-008,financial,FINANCIAL-008.txt,376,FIN-2024-Q2-007
FINANCIAL-009,financial,FINANCIAL-009.txt,397,FIN-2023-Q4-008
FINANCIAL-010,financial,FINANCIAL-010.txt,374,FIN-2024-Q2-009
FINANCIAL-011,financial,FINANCIAL-011.txt,394,FIN-2025-Q1-010
FINANCIAL-012,financial,FINANCIAL-012.txt,363,FIN-2024-Q4-011
FINANCIAL-013,financial,FINANCIAL-013.txt,347,FIN-2023-Q1-012
FINANCIAL-014,financial,FINANCIAL-014.txt,374,FIN-2023-Q4-013
FINANCIAL-015,financial,FINANCIAL-015.txt,353,FIN-2025-Q3-014
PERSONAL-001,personal,PERSONAL-001.txt,247,EMP-99293
PERSONAL-002,personal,PERSONAL-002.txt,253,EMP-21927
PERSONAL-003,personal,PERSONAL-003.txt,265,EMP-23826
PERSONAL-004,personal,PERSONAL-004.txt,229,EMP-69675
PERSONAL-005,personal,PERSONAL-005.txt,255,EMP-38087
PERSONAL-006,personal,PERSONAL-006.txt,266,EMP-27113
PERSONAL-007,personal,PERSONAL-007.txt,262,EMP-33004
PERSONAL-008,personal,PERSONAL-008.txt,267,EMP-69910
PERSONAL-009,personal,PERSONAL-009.txt,262,EMP-94837
PERSONAL-010,personal,PERSONAL-010.txt,225,EMP-21668
PERSONAL-011,personal,PERSONAL-011.txt,247,EMP-94286
PERSONAL-012,personal,PERSONAL-012.txt,269,EMP-45803
PERSONAL-013,personal,PERSONAL-013.txt,251,EMP-92247
PERSONAL-014,personal,PERSONAL-014.txt,214,EMP-42466
PERSONAL-015,personal,PERSONAL-015.txt,248,EMP-71556
